127.0.0.1 - - [13/Jun/2019:16:54:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:54:36 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:54:37 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:54:37 +0530] "GET /ORSProject4/img/bg3.jpg HTTP/1.1" 200 27435
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:54:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:34 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:34 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:34 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:34 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:41 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:55:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:57:57 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [13/Jun/2019:16:57:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:07:56 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:07:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:08:12 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:08:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
